entity_text,paper_count,pmids,entity_type,sources,mean_confidence
ClinGen,18,"35039090,35180879,35366592,36251279,36541006,36617168,36808730,36916756,37285317,38040041,38440907,38663031,39043627,39198917,39241757,39404758,39793579,40067792",COM,ruler,1.0
CTD,17,"35821017,36169237,36624667,37068705,37070209,37094074,37461161,38581280,38979651,39104826,39196748,39385618,39446852,39818139,39833831,39836634,39982792",COM,ruler,1.0
A large-scale,17,"36733253,36823289,37019916,37369643,37612327,38049850,38110415,39693144,39695144,39875412,39900705,39973009,40057526,40103760,40108146,40410207,40483273",FUL,statistical,1.0
European Nucleotide Archive,17,"35134858,35804320,35870891,36067158,36350640,36847572,36932341,37356897,37376690,37484460,37889039,37956313,38724907,39346622,39475723,39558184,39797569",FUL,ruler,1.0
ASD,17,"35063127,35131258,35524165,36140719,36368308,37456110,37561047,37803253,37870448,37935738,38491000,38566045,38811573,38924852,38982129,39283002,40372465",COM,ruler,1.0
A,17,"35025668,35697698,35762804,35869511,36043394,37031236,37797858,38010338,38179668,39213390,39215721,39295118,39356679,39424499,39693482,40295936,40602433",COM,v2_bert,0.8255383747058823
GENCODE,16,"35044822,35468141,36124785,36170113,36420896,36882164,37280537,37904256,38127855,38504112,38518981,39157583,39514846,39565199,40119728,40996716",COM,ruler,1.0
DDA,16,"35132134,35548855,35672356,35793413,36005855,36402891,37093804,37438352,37456110,37831087,38171828,38968027,39004851,39224509,39389962,40164738",COM,statistical,1.0
InterPro,16,"35641095,35751824,36350672,36394420,36847572,37061086,37248633,37933859,37962385,38597606,38819572,38917322,39540428,39565202,39658041,40484097",COM,ruler,1.0
Human Protein Atlas,15,"34978699,35325185,36108145,36175767,36604173,37508506,37540443,37791887,38206988,38232391,38345567,39514846,39812750,39822275,40462185",FUL,ruler,1.0
EMG,15,"35064126,36922536,38040770,38059067,38129422,38272936,38609440,39127752,39333541,39824832,40075069,40118852,40148353,40393988,40476387",COM,statistical,1.0
GPU,15,"34991450,37285215,37552222,37907498,37975878,37988145,38355413,38438345,38739583,39041910,39237105,39488701,39788105,39821779,40341180",COM,statistical,1.0
h,15,"35568950,35681126,36869285,37194023,37340399,37391755,37620754,38229051,38498357,38714913,38940573,39175079,39434095,40089661,40295995",FUL,v2_bert,0.9164169933333334
GTDB,15,"34520557,34986604,35544233,36125864,36383786,36399059,37258857,37303742,38189256,38613393,38643272,38846350,39522045,39773409,40584559",COM,ruler,1.0
GWAS Catalog,15,"34664660,35418025,36056235,36190496,36316489,36350656,36582986,36869294,37139553,37142970,37233759,37870463,38608311,38674412,39530240",COM,statistical,1.0
OECD,15,"35159786,35192406,36520016,37296454,37368656,38349723,38483583,38523647,38598715,38789065,39668276,39789009,39879562,40185740,40710990",COM,statistical,1.0
DNN,15,"36124251,37053159,37158278,37667031,37853025,38012574,38189730,38365928,38709873,38750071,38778085,39300129,39361557,40155442,40439670",COM,statistical,1.0
Genome,15,"35259302,35330423,35438138,35715150,36168211,36306438,36463398,36479579,36600474,36896476,38164508,38436570,38958457,39433728,39937662",FUL,v2_bert,0.6280910526666666
MAP,15,"35348650,35639514,35678569,35864937,35908805,36831997,37171844,37435612,37649967,38064432,38533822,38621181,38734312,38865215,40127300",COM,ruler,1.0
P,14,"35710807,36774895,37123823,37623798,37749380,37962425,38092800,38182602,38305800,38312097,39569397,39753885,39894387,40410165",COM,v2_bert,0.7912211578571429
Comparative Toxicogenomics Database,14,"35094093,36169237,36399413,37068705,37776009,38979651,39104826,39196748,39385618,39446852,39818139,39833831,39836634,39982792",FUL,ruler,1.0
S,14,"36018484,36400030,36420904,36928528,37092604,37130913,37271097,38238779,38396257,38426333,39138517,39395790,40259421,40259822",COM,v2_bert,0.7321766271428573
LAMP,14,"35081119,35260715,35460467,35684258,37099532,37828369,38489299,38653014,39033535,39146233,39445836,39949805,40128264,40234204",COM,ruler,1.0
IPD,14,"34991484,36350643,36624667,37968000,38227595,38400869,38425721,38907896,38907897,38936817,38988407,39333410,39436012,39702467",COM,ruler,1.0
MIMIC,14,"35504931,35717401,35769376,36596836,36844249,36996758,38760409,38763952,38781078,38789452,39455647,39531422,39837961,40417494",COM,statistical,1.0
MTB,13,"35165358,36073491,36469333,36497903,37059737,38317726,38374088,39482572,39609355,40073368,40128264,40380393,40526350",COM,ruler,1.0
WikiPathways,13,"35174439,35325185,35558518,35838944,36454444,36480100,36715855,36882166,36944905,37142846,37855672,37941138,38053130",COM,ruler,1.0
R&D,13,"35242914,35280732,35319597,35599136,36408524,37465389,37582061,38472250,38505831,39297317,40008227,40189049,40397096",COM,statistical,1.0
OpenAI,13,"37501529,37507396,38000386,38028967,38520725,38719344,38987117,39115390,39192204,39718779,39910777,40057225,40499132",COM,statistical,1.0
